127.0.0.1 - - [30/Nov/2021:11:05:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:05:21 +0530] "GET /Sample/searchmusical.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:05:34 +0530] "GET /Sample/result-musical?search=Guitar HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:05:34 +0530] "GET /Sample/praj.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:05:34 +0530] "GET /Sample/guitar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:05:37 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:05:37 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 1058349
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:06:22 +0530] "GET /Sample/searchmusical.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:06:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:06:54 +0530] "GET /Sample/result-musical?search=Guitar HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:06:54 +0530] "GET /Sample/praj.css HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:06:54 +0530] "GET /Sample/guitar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:06:55 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 1058349
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:07:02 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 402989
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:07:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:17:33 +0530] "GET /Sample/result-musical?search=Guitar HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:17:33 +0530] "GET /Sample/praj.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:17:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:19:15 +0530] "GET /Sample/result-musical?search=Guitar HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:19:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:21:51 +0530] "GET /Sample/searchmusical.jsp HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:21:51 +0530] "GET /Sample/praj.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:23:16 +0530] "GET /Sample/result-musical?search=Guitar HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [30/Nov/2021:11:23:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Nov/2021:13:55:19 +0530] "GET /Sample/praj.css HTTP/1.1" 304 -
