127.0.0.1 - - [29/Nov/2021:10:18:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:18:24 +0530] "GET /Sample/showmusical.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:18:57 +0530] "GET /Sample/searchmusical.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:12 +0530] "GET /Sample/result-musical?search=Guitar HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:12 +0530] "GET /Sample/guitar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:14 +0530] "GET /Sample/guitarsound.mp4 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:14 +0530] "GET /Sample/guitarsound.mp4 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:14 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 1058349
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:14 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 1058349
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:15 +0530] "GET /Sample/guitarsound.mp4 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:16 +0530] "GET /Sample/guitarsound.mp4 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:16 +0530] "GET /Sample/guitarsound.mp4 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:19:16 +0530] "GET /Sample/guitarsound.mp4 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:25:38 +0530] "GET /Sample/showmusical.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:26:12 +0530] "GET /Sample/searchmusical.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:26:21 +0530] "GET /Sample/result-musical?search=Guitar HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:26:21 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 1058349
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:26:22 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 1058349
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:26:22 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 412 679
0:0:0:0:0:0:0:1 - - [29/Nov/2021:10:26:22 +0530] "GET /Sample/guitarsound.mp3 HTTP/1.1" 206 1058349
