0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:45:21 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=400 HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:46:07 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:46:07 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=400 HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:56:47 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=400 HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:56:50 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=3 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:57:00 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=Kalyan+&city=&contact= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:57:00 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:57:05 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=3 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:57:26 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=kalyan+T&city=Dubai&contact=0000000000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:57:26 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:59:09 +0530] "GET /StudentDetailsTask/EditDetails.jsp?id=3 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:59:29 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=kalyan&city=lakhanu&contact=6868687868 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:59:29 +0530] "GET /StudentDetailsTask/SaveEdit.jsp?name=kalyan&city=lakhanu&contact=6868687868 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:11:59:30 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:02:52 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=300 HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:02:55 +0530] "GET /StudentDetailsTask/DeleteDetails.jsp?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:02:55 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=110 HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:07:34 +0530] "GET /StudentDetailsTask/DeleteDetails.jsp?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2021:12:07:35 +0530] "GET /StudentDetailsTask/StudentDetails.jsp?code=110 HTTP/1.1" 200 1758
